"qualifying","position","displayName","nflId_def","routes","eps_tracking_w_penalties","eps_tracking","normalized_avg_max_epa","penalties_and_time_to_throw_normalized_tracking_epa","penalities_count","tracking_penalty_perc","penalties_eps"
1,"CB","Kendall Fuller",2555349,335,10.4943633489147,10.3821781190566,0.227741072650855,0.228324547432101,1,0.00297619047619048,-0.423788599149409
1,"CB","Tavon Young",2555378,182,9.47684318702751,10.0115285872251,0.0741194773650341,0.0782326193942014,1,0.00546448087431694,-0.82682446870265
1,"CB","Nevin Lawson",2543872,177,6.37588821752329,7.52495443412728,0.155309641264885,0.160680356582801,3,0.0166666666666667,-1.43265768101957
1,"CB","Grant Haley",2561001,127,6.26843568250193,6.06550232298012,0.120678693808932,0.120678693808932,0,0,0
1,"CB","Briean Boddy-Calhoun",2556475,190,5.6017559454254,5.6256284072718,0.238103843255474,0.238574491502865,1,0.00523560209424084,-0.327997658507028
1,"DB","Greg Stroman",2560886,122,5.46202149203719,5.26707763485877,0.150446673027948,0.150446673027948,0,0,0
1,"CB","Cre'von LeBlanc",2556587,162,5.42949282493644,5.17063294901098,0.223311443656123,0.223311443656123,0,0,0
1,"CB","Jaire Alexander",2560952,142,5.34251656589106,5.11561469933912,0.196106157641125,0.196106157641125,0,0,0
1,"CB","Jason McCourty",89756,156,5.19064003645248,4.94136756333908,0.220651214059685,0.220651214059685,0,0,0
1,"CB","Bryce Callahan",2553500,214,4.8080615063293,4.46611080603272,0.291423726596974,0.291423726596974,0,0,0
1,"CB","Buster Skrine",2495343,203,4.7395772037606,5.53269078447785,0.251842814273327,0.256094937082238,1,0.00490196078431373,-1.11927586729133
1,"CB","Joe Haden",496733,167,4.68403494697438,4.70629887070668,0.233760128437827,0.234092365861722,1,0.00595238095238095,-0.28957601565226
1,"CB","Fabian Moreau",2558136,218,4.45487264035926,7.29903969961947,0.211830926664072,0.223408835827119,3,0.0135746606334842,-3.1942107050257
1,"CB","Eli Apple",2555277,163,4.3923121414905,5.39024274781658,0.210218278130001,0.215302872190922,2,0.0121212121212121,-1.25939457631207
1,"SS","Patrick Chung",71251,112,4.2541094586703,4.97579667697086,0.142457136658015,0.14786466252665,2,0.0175438596491228,-0.901372222340494
1,"CB","Desmond Trufant",2539334,144,4.25113210318352,5.28324582536684,0.192863694691961,0.197518748841159,3,0.0204081632653061,-1.26288404400787
1,"CB","Brandon Carr",4365,154,4.17472907172948,3.92865239955343,0.260549338568822,0.260549338568822,0,0,0
1,"CB","Tramon Williams",2506789,137,4.01859169281975,3.79967932861118,0.250458664175975,0.250458664175975,0,0,0
1,"CB","Logan Ryan",2540162,219,3.99822990573169,4.62579026403087,0.290297268094726,0.290779834237307,3,0.0135135135135135,-0.978021487937134
1,"SS","Derwin James",2560760,157,3.93568995332844,3.68481957974636,0.278900795316862,0.278900795316862,0,0,0
1,"CB","D.J. Hayden",2539237,182,3.9274360263312,3.62181667786326,0.29314693468774,0.291464027108644,1,0.00546448087431694,0.0148251522867664
1,"CB","M.J. Stewart",2560884,117,3.82236060794398,3.63540625310893,0.229459186699019,0.229459186699019,0,0,0
1,"DB","Anthony Levine",2508004,78,3.7314170307775,4.13889961561048,0.0857968025022342,0.0914572284848607,1,0.0126582278481013,-0.532970455129727
1,"CB","Brian Poole",2556445,282,3.42348322264997,4.56210088105403,0.320740984527182,0.325232249879128,1,0.00353356890459364,-1.59176907912815
1,"CB","Shaquill Griffin",2558259,144,3.26912426661998,4.25510493348752,0.238185790756272,0.244943299899073,1,0.00689655172413793,-1.21802461646233
1,"CB","Mackensie Alexander",2555177,203,3.11316794750269,3.40330442453361,0.3073281858095,0.308838801418059,1,0.00490196078431373,-0.615493769955553
1,"SS","Josh Jones",2558119,58,3.11052582868955,3.01784760150636,0.0924128736000866,0.0924128736000866,0,0,0
1,"CB","Marshon Lattimore",2558061,177,3.1073917008704,2.82456331791481,0.319683196575033,0.319683196575033,0,0,0
1,"CB","James Bradberry",2555175,190,3.09464743841588,2.7911105296223,0.32779270756585,0.326076851939708,1,0.00523560209424084,-6.42829725840954e-05
1,"CB","Darqueze Dennard",2543474,208,3.07585246272515,2.74348916524061,0.339945863069402,0.339945863069402,0,0,0
1,"CB","Coty Sensabaugh",2532946,110,3.07067759437894,2.89490854282462,0.252991738640111,0.252991738640111,0,0,0
1,"CB","Malcolm Butler",2550613,124,2.95594521989867,3.22546703999431,0.255395990897683,0.257100102576031,1,0.008,-0.468409950691163
1,"SS","Jamal Adams",2557979,118,2.94065021637698,2.75209796107325,0.276944863799181,0.276944863799181,0,0,0
1,"CB","Daryl Worley",2555394,77,2.92568649093455,2.80264815484653,0.194222598812158,0.194222598812158,0,0,0
1,"CB","Sidney Jones",2557958,156,2.88881124899371,2.63953877588031,0.317555542702744,0.317555542702744,0,0,0
1,"FS","D.J. Swearinger",2539943,98,2.83681277300799,4.19552687366623,0.152893469853829,0.166679733125137,1,0.0101010101010101,-1.5177335337133
1,"FS","Eric Murray",2555173,39,2.73953616471353,2.67721804643518,-0.0112685769089935,-0.0112685769089935,0,0,0
1,"CB","Kyle Fuller",2543681,184,2.63332015952699,2.67065648317054,0.324139734145257,0.324181575158533,1,0.00540540540540541,-0.331880321601302
1,"CB","Bene' Benwikere",2543855,126,2.60531172921347,2.94000882725036,0.27793957549506,0.279978558795091,1,0.0078740157480315,-0.536890454599047
1,"FS","Jermaine Whitehead",2552697,40,2.57520966353953,2.5112936447925,0.0238769788372745,0.0238769788372745,0,0,0
