"qualifying","position","displayName","nflId_def","targets","completions","interceptions","completion_perc","interception_perc","e_comp_perc","e_int_perc","completions_saved","completions_saved_per_target","interceptions_created","interceptions_created_per_target","expected_epa","actual_epa","epa_pass_arrived_avg","epa_result_avg","eps_saved_ball_skills","eps_saved_ball_skills_per_target","eps_int_returns","ball_skills_penalties","avg_ball_skills_penalties_eps","PB","eps_saved_ball_skills_per_target_w_penalties","eps_saved_ball_skills_w_penalties","hands_on_ball_plays","hands_on_ball_rate"
1,"FS","Eddie Jackson",2558176,21,11,2,0.523809523809524,0.0952380952380952,0.662740747333333,0.0703765097087619,2.917555694,0.13893122352381,0.522093296116,0.13893122352381,3.1007991141859,-11.1793097946866,0.147657100675519,-0.532348085461268,14.2801089088725,0.680005186136787,4.75835135713889,0,0,6,0.680005186136787,14.5653324795133,8,0.380952380952381
1,"CB","Xavien Howard",2555539,9,5,0,0.555555555555556,0,0.771129508888889,0.0433563208555556,1.94016558,0.215573953333333,-0.3902068877,0.215573953333333,9.46026915403901,-4.36570587255287,1.05114101711545,-0.485078430283653,13.8259750265919,1.5362194473991,0,0,0,1,1.5362194473991,13.9482136997236,1,0.111111111111111
1,"CB","Kareem Jackson",496735,20,14,1,0.7,0.05,0.809904937,0.0170095005595,2.19809874,0.109904937,0.65980998881,0.109904937,7.2564664887723,-2.01036691418415,0.362823324438615,-0.100518345709208,9.26683340295645,0.463341670147822,-3.54440165466923,0,0,4,0.463341670147822,9.53847489880481,5,0.25
1,"FS","Andrew Adams",2556456,10,6,2,0.6,0.2,0.746151183,0.04160543674,1.46151183,0.146151183,1.5839456326,0.146151183,2.98569420249723,-6.4136993792969,0.298569420249723,-0.64136993792969,9.39939358179413,0.939939358179413,-0.160367989046114,1,-0.495572383303407,2,0.809438290771884,9.05322402120732,4,0.363636363636364
1,"CB","Prince Amukamara",2495108,15,12,2,0.8,0.133333333333333,0.808821429333333,0.0203337019793333,0.13232144,0.00882142933333334,1.69499447031,0.00882142933333334,8.93672960590368,0.329009480272108,0.595781973726912,0.0219339653514738,8.60772012563157,0.573848008375438,2.62738699080902,0,0,1,0.573848008375438,8.81145124751784,3,0.2
1,"CB","Denzel Ward",2560916,27,20,1,0.740740740740741,0.037037037037037,0.830718538518519,0.00877171151133333,2.42940054,0.0899777977777778,0.763163789194,0.0899777977777778,6.7424604945996,-1.48043296820782,0.249720759059244,-0.0548308506743638,8.22289346280742,0.304551609733608,-0.645756891393267,0,0,1,0.304551609733608,8.5896094822027,2,0.0740740740740741
1,"CB","Kenny Moore II",2558976,24,21,1,0.875,0.0416666666666667,0.870442487083333,0.0134930985552083,-0.109380309999999,-0.00455751291666662,0.676165634675,-0.00455751291666662,5.04502055358148,-2.96034425770124,0.210209189732561,-0.123347677404219,8.00536481128272,0.33355686713678,-0.252790328551753,0,0,2,0.33355686713678,8.33133460630075,3,0.125
1,"FS","Curtis Riley",2553822,11,7,2,0.636363636363636,0.181818181818182,0.674734830909091,0.10545358464,0.42208314,0.0383711945454545,0.84001056896,0.0383711945454545,4.42349933970536,-3.06825066569102,0.402136303609578,-0.278931878699183,7.49175000539637,0.681068182308761,2.96467423605541,0,0,1,0.681068182308761,7.64115282811297,3,0.272727272727273
1,"CB","Jalen Ramsey",2555280,16,13,1,0.8125,0.0625,0.830915575625,0.01282122394,0.294649209999999,0.018415575625,0.79486041696,0.018415575625,11.0142990872806,4.02396268325466,0.688393692955039,0.251497667703416,6.99033640402597,0.436896025251623,1.16373379666391,0,0,1,0.436896025251623,7.20764960070466,2,0.125
1,"CB","Trae Waynes",2552448,11,7,1,0.636363636363636,0.0909090909090909,0.699035344545455,0.02683594507,0.68938879,0.0626717081818182,0.70480460423,0.0626717081818182,2.93833692359232,-2.92879241313042,0.267121538508393,-0.26625385573913,5.86712933672275,0.533375394247523,0.192853970822895,0,0,2,0.533375394247523,6.01653215943935,3,0.272727272727273
1,"CB","Desmond King",2557927,27,21,1,0.777777777777778,0.037037037037037,0.78796560037037,0.0197079105203704,0.27507121,0.0101878225925926,0.46788641595,0.0101878225925926,3.18307951139604,-2.43190344182852,0.117891833755409,-0.0900704978455008,5.61498295322456,0.20796233160091,-0.179155404807149,0,0,5,0.20796233160091,5.98169897261984,6,0.222222222222222
1,"FS","Anthony Harris",2553655,5,2,0,0.4,0,0.715781848,0.047801088504,1.57890924,0.315781848,-0.23900544252,0.315781848,3.05920749557325,-2.69321146599806,0.611841499114649,-0.538642293199612,5.75241896157131,1.15048379231426,0,0,0,2,1.15048379231426,5.8203293355334,2,0.4
1,"SS","Justin Evans",2557945,3,2,1,0.666666666666667,0.333333333333333,0.700094163333333,0.0238790622,0.10028249,0.0334274966666667,0.9283628134,0.0334274966666667,-0.264014958092385,-5.89826165823968,-0.088004986030795,-1.96608721941323,5.63424670014729,1.87808223338243,-1.33719219262377,0,0,0,1.87808223338243,5.67499292452455,1,0.333333333333333
1,"CB","Jonathan Jones",2556571,16,11,1,0.6875,0.0625,0.776219423125,0.02159873866625,1.41951077,0.088719423125,0.65442018134,0.088719423125,2.16422843009917,-3.15423795838384,0.135264276881198,-0.19713987239899,5.31846638848301,0.332404149280188,0.107656985915388,0,0,3,0.332404149280188,5.53577958516169,4,0.25
