"nflId_def","Pos","Player","G","Pass Snaps","%Zone","Zone EPS","Zone EPS Per Game","Zone EPS Per Cover","Zone EPS Closing","Zone EPS Ball Skills","Zone EPS Tackling","Zone EPS Ball Hawk","Zone EPS INT Returns","SOS Zone EPS","SOS Zone EPS Per Game","SOS Zone EPS Per Cover","SOS Zone EPS Closing","SOS Zone EPS Ball Skills","SOS Zone EPS Tackling","Covers","Accurate TAR","C","Targeted C%","INT","Ball Hawk INT","PB","Ball Hawk PB","Hands on Ball % of Targets","Hands on Ball % of Plays","T","FF","Penalties"
2555355,"FS","Clayton Fejedelem (CIN)",12,118,0.86,-4.22,-0.35,-0.07,-2.19,-0.49,-0.52,-1.02,0,-3.45,-0.29,-0.06,-2.18,0.02,-0.27,61,2,2,1,0,0,0,0,0,0,1.5,0,0
2552697,"FS","Jermaine Whitehead (CLE/GB)",8,146,0.67,-4.31,-0.54,-0.07,0,-1.52,-1.95,-0.84,0,-4.07,-0.51,-0.07,-0.09,-1.6,-1.54,58,5,4,0.8,0,0,1,0,0.2,0.02,1,0,0
2558171,"CB","Corn Elder (CAR)",6,35,0.62,-4.32,-0.72,-0.22,-1.58,-2.73,0.2,-0.22,0,-4,-0.67,-0.2,-1.52,-2.46,0.2,20,2,2,1,0,0,0,0,0,0,1,0,0
2508107,"CB","Jimmy Smith (BAL)",12,370,0.39,-4.33,-0.36,-0.03,-0.63,-3.67,-0.7,0.77,-0.11,-2.8,-0.23,-0.02,-0.49,-2.79,-0.18,126,8,7,0.88,0,1,0,0,0,0.01,6,0,1
2556475,"CB","Briean Boddy-Calhoun (CLE)",14,426,0.61,-4.34,-0.31,-0.02,2.67,-2.99,-1.44,-2.59,0,-3.9,-0.28,-0.02,2.83,-2.98,-1.16,182,13,10,0.77,0,0,1,0,0.08,0.01,7.5,0,0
2560753,"CB","Donte Jackson (CAR)",15,524,0.45,-4.41,-0.29,-0.02,1.33,-8.18,1.37,1.18,-0.12,-2.39,-0.16,-0.01,1.95,-7.46,2.06,207,22,20,0.91,0,1,2,1,0.09,0.02,21.5,0,3
2558121,"LB","Elijah Lee (SF)",8,250,0.82,-4.45,-0.56,-0.03,0.41,-0.66,-3.13,-1.07,0,-5.71,-0.71,-0.04,0.14,-1.69,-3.09,144,13,12,0.92,0,0,0,1,0,0.01,9.5,0,0
2555255,"OLB","De'Vondre Campbell (ATL)",16,531,0.75,-4.47,-0.28,-0.02,2.02,-1.38,-2.06,-3.06,0,-3.75,-0.23,-0.02,1.17,-0.61,-1.25,232,22,21,0.95,0,0,0,0,0,0,13.5,0,0
2559152,"ILB","Dylan Cole (HOU)",8,82,0.69,-4.52,-0.56,-0.13,-0.23,-3.9,-0.78,0.4,0,-4.78,-0.6,-0.14,-0.26,-4.06,-0.86,35,4,3,0.75,0,0,1,1,0.25,0.06,2,0,0
2561117,"DB","Tarvarius Moore (SF)",10,110,0.41,-4.57,-0.46,-0.12,-0.86,-1.5,-1.75,-0.46,0,-3.35,-0.34,-0.09,-0.59,-0.41,-1.89,38,3,3,1,0,0,0,0,0,0,2,0,0
