"position","displayName","nflId_def","route","routes","eps_tracking","eps_tracking_per_play","normalized_avg_max_epa"
"CB","William Jackson",2556367,"GO",154,6.74076927098788,0.0437712290323888,-0.0285532931830366
"CB","Prince Amukamara",2495108,"GO",114,6.42259770622791,0.0563385763704203,-0.0612183934173852
"CB","Eli Apple",2555277,"GO",103,4.9939620841808,0.0484850687784544,-0.04484446052634
"CB","Orlando Scandrick",2307,"GO",109,4.42628442790908,0.0406081140175145,-0.00729847416070591
"CB","Malcolm Butler",2550613,"GO",114,4.03852930925522,0.0354256956952212,0.0233206713292435
"DB","J.C. Jackson",2560754,"GO",52,3.96732196741317,0.0762946532194839,-0.134556824055654
"CB","Marlon Humphrey",2558067,"GO",104,3.67315153085212,0.0353187647197319,-0.0010518285916374
"CB","Steven Nelson",2552265,"GO",142,3.56484547354852,0.0251045455883699,0.0458000774786864
"CB","Byron Jones",2552568,"GO",148,3.427154321837,0.0231564481205203,0.0471580251295409
"CB","Marshon Lattimore",2558061,"GO",115,3.30340788088016,0.0287252859206971,0.0469416899543146
"CB","Brandon Carr",4365,"GO",89,3.09086983586835,0.0347288745603186,-0.00348742876071492
"CB","Jimmy Smith",2508107,"GO",81,3.07992133264753,0.0380237201561423,0.00786016182308471
"DB","Isaac Yiadom",2560946,"GO",47,3.02566146861836,0.0643757759280502,-0.0858016471243507
"CB","Denzel Ward",2560916,"GO",86,2.91003916717427,0.0338376647345845,0.0260056926125592
"SS","Patrick Chung",71251,"GO",41,2.44721924626033,0.0596882742990324,-0.0604083497085497
"CB","Morris Claiborne",2533059,"GO",116,2.34634423440293,0.0202271054689908,0.0673712624018783
"CB","Isaiah Oliver",2560830,"GO",47,2.3407054698763,0.0498022440399213,-0.042413462534392
"CB","B.W. Webb",2539338,"GO",103,2.29377666040319,0.0222696763145941,0.0673243113795319
"CB","Dre Kirkpatrick",2533060,"GO",96,2.20552854147534,0.0229742556403681,0.0466628324207111
"CB","Aaron Colvin",2543501,"GO",28,2.11202329857274,0.0754294035204549,-0.0538060117445439
"CB","Stephon Gilmore",2533062,"GO",168,2.10356262373829,0.0125212060936803,0.0919052814830612
"CB","Josh Norman",2532920,"GO",89,2.10212066095079,0.02361933326911,0.0396296918195904
"CB","Joe Haden",496733,"GO",113,2.02117565385075,0.0178865102110686,0.0868404366869131
"CB","Shaquill Griffin",2558259,"GO",107,1.88303441679215,0.0175984524933846,0.0677266663221327
"CB","Shareece Wright",2495251,"SLANT",28,1.73636995927696,0.0620132128313201,-0.0960285767004895
"CB","Darius Slay",2540288,"GO",81,1.71095788409272,0.0211229368406508,0.0625820875461251
"CB","Gareon Conley",2558062,"GO",80,1.61240854393488,0.020155106799186,0.0694951585697049
"CB","Nevin Lawson",2543872,"GO",68,1.59171839664571,0.0234076234800839,0.0482054693398884
"CB","Robert Alford",2539653,"GO",123,1.57040792398437,0.0127675440974339,0.0829302205455829
"SS","Tony Jefferson",2540164,"GO",19,1.5617553304891,0.0821976489731107,-0.139794166272248
"CB","Carlton Davis",2561039,"GO",88,1.53904326484149,0.0174891280095624,0.0697610168024198
"CB","Malcolm Butler",2550613,"HITCH",29,1.4682545245101,0.0506294663624171,-0.0582537755587313
"CB","Quinton Dunbar",2553796,"GO",40,1.43117287937954,0.0357793219844885,0.00880065508578883
"CB","Denzel Ward",2560916,"HITCH",31,1.4092728801065,0.0454604154873065,-0.0297454874242035
"CB","DeShawn Shead",2535609,"GO",29,1.31473004651619,0.0453355188453859,-0.037445209104748
"CB","Bradley Roby",2543505,"GO",97,1.31390670759929,0.0135454299752505,0.0857058351670022
"CB","T.J. Carrie",2550164,"GO",78,1.27888982731989,0.016396023427178,0.0886357482924268
"CB","Kevin King",2557996,"GO",30,1.26066581581479,0.0420221938604929,-0.0201824468489876
"CB","Grant Haley",2561001,"FLAT",11,1.25596860107448,0.114178963734044,-0.234038197232232
"CB","M.J. Stewart",2560884,"HITCH",8,1.22478076645022,0.153097595806278,-0.329522925034771
"DB","Armani Watts",2560921,"GO",3,1.21438405294229,0.404794684314096,-0.956287758142175
"CB","Cameron Sutton",2558849,"OUT",13,1.20977839214978,0.0930598763192138,-0.16426600480625
"CB","Teez Tabor",2557955,"GO",22,1.20630097213707,0.0548318623698669,-0.0732410435381108
"CB","Coty Sensabaugh",2532946,"HITCH",39,1.20250312914213,0.030833413567747,0.008925803648123
"CB","Desmond Trufant",2539334,"SLANT",20,1.17735005675451,0.0588675028377254,-0.0907733213064753
"CB","Pierre Desir",2543811,"SLANT",24,1.17351639454359,0.0488965164393162,-0.0501513211059885
"CB","LeShaun Sims",2555551,"GO",25,1.17115729032108,0.0468462916128434,-0.021220361516911
"CB","B.W. Webb",2539338,"FLAT",15,1.1690059849903,0.0779337323326863,-0.183012493911033
"CB","Holton Hill",2560741,"SLANT",6,1.14743305326324,0.19123884221054,-0.509435272261346
"CB","Marlon Humphrey",2558067,"HITCH",28,1.14085030983059,0.040744653922521,0.0125612598849594
"CB","Xavier Rhodes",2540155,"GO",72,1.12186328793575,0.0155814345546631,0.0934541150621027
"CB","Nevin Lawson",2543872,"IN",25,1.12005200377642,0.0448020801510567,-0.0243352343477925
"CB","Jason McCourty",89756,"IN",28,1.10771845872671,0.0395613735259538,0.0200361536769604
"CB","Prince Amukamara",2495108,"SLANT",37,1.10140022648433,0.0297675736887658,0.0432171858110278
"CB","B.W. Webb",2539338,"HITCH",32,1.09597328021412,0.0342491650066914,0.0365706898764237
"CB","Josh Jackson",2560755,"GO",65,1.08386927373147,0.016674911903561,0.0810589204760568
"SS","Malcolm Jenkins",79848,"GO",29,1.08214347288757,0.037315292168537,0.0297947453394871
"CB","Torry McTyer",2559053,"GO",36,1.06185099909803,0.0294958610860564,0.0386110662067476
"CB","Steven Nelson",2552265,"IN",36,1.06149511920804,0.0294859755335568,0.0661619245075402
"CB","Damarious Randall",2552389,"GO",19,1.05168096991769,0.0553516299956678,-0.00889139424594603
"CB","Xavier Rhodes",2540155,"HITCH",30,1.02946112584389,0.0343153708614629,0.0150019099456203
"CB","Chidobe Awuzie",2557840,"SLANT",23,1.02260774241777,0.0444612061920769,0.00541675843924899
"CB","Brandon Carr",4365,"SLANT",23,1.010591073516,0.0439387423267828,-0.0356086375941603
"CB","Jason McCourty",89756,"GO",96,1.00395281928289,0.0104578418675301,0.101666812792702
"CB","Tony Brown",2560982,"GO",23,1.00037808269069,0.0434946992474214,-0.0379063406686679
"CB","Orlando Scandrick",2307,"IN",22,0.960587950720772,0.043663088669126,0.00129175740826976
"CB","Prince Amukamara",2495108,"IN",38,0.946805602583597,0.0249159369100947,0.0450630161872068
"CB","Bryce Callahan",2553500,"GO",59,0.936440214451838,0.0158718680415566,0.106550361173657
"ILB","Avery Williamson",2543597,"FLAT",15,0.931088326282682,0.0620725550855122,-0.0757609316756512
