"qualifying","position","displayName","nflId_def","targets","closing_penalties","eps_saved_closing_w_penalties","eps_saved_closing","eps_saved_closing_per_target","eps_saved_closing_per_target_w_penalties","epa_pass_attempt_avg"
1,"CB","Jaire Alexander",2560952,42,1,8.02074190003399,8.51939394109928,0.202842712883316,0.172596366297164,0.147952800469099
1,"CB","Buster Skrine",2495343,32,0,7.99786948487389,7.22638017614549,0.225824380504547,0.225824380504547,0.405268695150454
1,"CB","Gareon Conley",2558062,29,0,6.36789371225543,5.66873152622031,0.195473500904149,0.195473500904149,0.348110613941234
1,"FS","Budda Baker",2558009,22,0,6.32751605702429,5.79711715727352,0.263505325330614,0.263505325330614,0.14296620575803
1,"CB","Malcolm Butler",2550613,52,0,6.17392641920469,4.92025629252104,0.0946203133177124,0.0946203133177124,0.438350982541451
1,"CB","Kyle Fuller",2543681,61,0,5.20734770101,3.73669620624648,0.0612573148564997,0.0612573148564997,0.084672661232337
1,"CB","Mike Hilton",2556559,23,0,5.18003813500534,4.6255301943568,0.201110008450296,0.201110008450296,0.169166222878725
1,"CB","Joe Haden",496733,52,0,4.97552774989922,3.72185762321557,0.0715741850618378,0.0715741850618378,0.223184596195382
1,"LB","Roquan Smith",2560877,25,0,4.78280771460452,4.18008169216046,0.167203267686418,0.167203267686418,0.191976111486741
1,"SS","Jeff Heath",2541832,20,0,4.63727294002555,4.1550921220703,0.207754606103515,0.207754606103515,0.163300791813796
1,"CB","William Jackson",2556367,47,0,4.38147368810317,3.24834876590834,0.0691138035299646,0.0691138035299646,0.257765059408559
1,"CB","Bradley Roby",2543505,51,0,4.09772111590779,2.8681600301219,0.0562384319631746,0.0562384319631746,0.307897343705396
1,"CB","Cre'von LeBlanc",2556587,20,0,4.08163550706286,3.59945468910761,0.17997273445538,0.17997273445538,0.432034209486311
1,"CB","Darqueze Dennard",2543474,33,0,4.03249145221103,3.23689310258487,0.098087669775299,0.098087669775299,0.191057741494321
1,"SS","Jamal Adams",2557979,10,0,3.5738891274015,3.33279871842387,0.333279871842387,0.333279871842387,0.211117040953483
1,"CB","Bryce Callahan",2553500,25,0,3.55737259664647,2.9546465742024,0.118185862968096,0.118185862968096,0.143492234556676
1,"CB","Trae Waynes",2552448,25,0,3.37505090245722,2.77232488001316,0.110892995200526,0.110892995200526,0.184207488538478
1,"CB","Janoris Jenkins",2532875,45,0,3.32742332663869,2.24251648623937,0.0498336996942083,0.0498336996942083,0.314403705528452
1,"CB","Grant Haley",2561001,19,0,2.9640858841841,2.50601410712661,0.131895479322453,0.131895479322453,0.343878872210894
1,"CB","Trumaine Johnson",2532877,23,0,2.95261916223035,2.39811122158181,0.104265705286166,0.104265705286166,0.158074928066757
1,"CB","D.J. Hayden",2539237,13,0,2.91921596515292,2.60579843348201,0.20044603334477,0.20044603334477,0.182142722024402
1,"FS","Tyrann Mathieu",2540180,18,0,2.82789598012329,2.39393324396356,0.132996291331309,0.132996291331309,0.20146182653264
1,"CB","Quincy Wilson",2557961,8,0,2.8067004527255,2.6138281255434,0.326728515692925,0.326728515692925,-0.0547576487059891
1,"CB","Terrance Mitchell",2543637,16,0,2.78839499973373,2.40265034536953,0.150165646585596,0.150165646585596,0.524282495641354
1,"CB","Aaron Colvin",2543501,13,0,2.65150504344485,2.33808751177394,0.179852885521072,0.179852885521072,0.203370400557449
1,"CB","Rasul Douglas",2558168,29,0,2.20487952440815,1.50571733837304,0.0519212875301047,0.0519212875301047,0.428005412175332
1,"CB","Michael Davis",2559164,33,0,2.1969578563432,1.40135950671703,0.0424654395974858,0.0424654395974858,0.303547782553415
1,"OLB","Lavonte David",2532828,26,0,2.19088161047034,1.56404654712851,0.0601556364280198,0.0601556364280198,0.192219401662198
1,"CB","Nevin Lawson",2543872,28,0,2.10692129669989,1.43186815156254,0.0511381482700908,0.0511381482700908,0.262222116206228
1,"CB","Phillip Gaines",2543851,16,0,2.03545744137033,1.64971278700613,0.103107049187883,0.103107049187883,0.516014266222377
1,"CB","Prince Amukamara",2495108,51,0,2.02159892095123,0.792037835165338,0.0155301536306929,0.0155301536306929,0.14039667159843
1,"CB","Logan Ryan",2540162,24,0,2.00360870361894,1.42499172207263,0.0593746550863598,0.0593746550863598,0.262690986471461
1,"CB","Tre Flowers",2560728,31,0,1.97719015850859,1.22980989067796,0.0396712867960631,0.0396712867960631,0.425951805358722
1,"CB","Sam Shields",1037374,14,0,1.66998746235907,1.3324608897904,0.0951757778421712,0.0951757778421712,0.638138811482559
1,"CB","Mike Ford",2561527,20,0,1.65136314941374,1.16918233145848,0.0584591165729242,0.0584591165729242,0.447718675098459
1,"CB","Shaquill Griffin",2558259,45,0,1.63001264591174,0.545105805512428,0.0121134623447206,0.0121134623447206,0.294537692822862
1,"CB","Brent Grimes",2506861,30,0,1.46904922989778,0.745778002964901,0.0248592667654967,0.0248592667654967,0.338091326039308
1,"CB","Stephon Gilmore",2533062,46,2,1.45275304866053,1.75022715602377,0.0380484164352994,0.00652754172570078,0.179187263516027
1,"CB","Anthony Brown",2555531,25,0,1.42418436682153,0.821458344377469,0.0328583337750987,0.0328583337750987,0.296008025266501
1,"CB","Kendall Fuller",2555349,44,0,1.42041509271753,0.35961729321598,0.00817312030036317,0.00817312030036317,0.242885230466437
1,"CB","Bene' Benwikere",2543855,22,0,1.38325093163738,0.8528520318866,0.0387660014493909,0.0387660014493909,0.204755483437249
1,"SS","Rafael Bush",2507817,13,0,1.33679712702301,1.0233795953521,0.078721507334777,0.078721507334777,0.656764504784768
1,"CB","Carlton Davis",2561039,27,0,1.29080281368928,0.639858709449694,0.023698470720359,0.023698470720359,0.23267309630119
1,"S","Minkah Fitzpatrick",2560725,30,1,1.19764828431018,0.659320218770937,0.0219773406256979,0.0151142561672433,0.257867401008804
1,"CB","Pierre Desir",2543811,41,0,1.15164619097602,0.163175514167762,0.0039798905894576,0.0039798905894576,0.306695041047054
1,"SS","Derwin James",2560760,15,0,1.01064775583175,0.649012142365317,0.0432674761576878,0.0432674761576878,0.284493671039813
1,"CB","Jalen Ramsey",2555280,53,1,1.00534041790657,0.41415322518904,0.00781421179601962,-0.00567129023209885,0.181372877793548
1,"CB","Justin Coleman",2553637,30,0,1.00134349234451,0.278072265411636,0.00926907551372119,0.00926907551372119,0.278071690744551
1,"CB","Desmond King",2557927,15,0,0.965112937116227,0.603477323649789,0.0402318215766526,0.0402318215766526,0.415275498027158
1,"CB","T.J. Carrie",2550164,37,1,0.849025546619256,0.302744523882616,0.00818228442925989,-0.00183231656046103,0.196040586695001
1,"CB","Trevor Williams",2556828,17,0,0.684098963120582,0.274245267858619,0.0161320745799188,0.0161320745799188,0.390346824921677
1,"SS","Justin Simmons",2555550,17,0,0.684030126018421,0.274176430756459,0.0161280253386152,0.0161280253386152,0.289056302950465
1,"CB","Kenny Moore II",2558976,26,0,0.623661309192094,-0.00317375414973142,-0.000122067467297362,-0.000122067467297362,0.568893817303349
1,"CB","Coty Sensabaugh",2532946,26,1,0.609018961601787,1.47973357013409,0.056912829620542,-0.00171274442764945,0.36154299161704
1,"CB","Robert Alford",2539653,53,1,0.525998701573693,-0.341769872212115,-0.00644848815494557,-0.0147603255479303,0.329156559726188
1,"CB","Josh Jackson",2560755,29,0,0.512590575250326,-0.186571610784787,-0.00643350382016507,-0.00643350382016507,0.224139009032249
1,"CB","Torry McTyer",2559053,14,0,0.485724485402205,0.148197912833529,0.010585565202395,0.010585565202395,0.490240114119414
1,"CB","Eli Apple",2555277,47,0,0.421935256657036,-0.711189665537802,-0.0151316950114426,-0.0151316950114426,0.179318053726308
1,"CB","Bobby McCain",2552434,32,1,0.415439270995422,0.419651289325817,0.0131141027914318,-0.0121845117966946,0.339756476635504
1,"CB","Darryl Roberts",2553353,17,0,0.399521661587789,-0.0103320336741737,-0.000607766686716099,-0.000607766686716099,0.203015046566096
1,"CB","Mackensie Alexander",2555177,20,0,0.253422742209642,-0.228758075745608,-0.0114379037872804,-0.0114379037872804,0.147619297704877
