"position","displayName","nflId_def","eps_tot_sos_adj","eps_zone_sos_adj","eps_man_sos_adj","eps_zone_closing_sos_adj","eps_zone_ball_skills_sos_adj","eps_zone_tackling_sos_adj","eps_man_tracking_sos_adj","eps_man_closing_sos_adj","eps_man_ball_skills_sos_adj","eps_man_tackling_sos_adj","expected_eps_tot","expected_eps_zone","expected_eps_man","man_tracking_expected_eps","expected_closing_eps_zone","expected_closing_eps_man","expected_ball_skills_eps_zone","expected_ball_skills_eps_man","expected_tackling_eps_zone","expected_tackling_eps_man"
"FS","Eddie Jackson",2558176,40.5802934239378,37.7838304408248,2.79646298311303,2.11927574060924,15.0020481201577,11.24514307786,-0.176618201053419,0.0887538974768113,3.0580835171684,-0.0900935735142426,-2.12763141229314,-0.925831583809504,-1.20179982848363,-0.307174855336997,0.174468097737787,-0.0887538974768113,-0.436715640644358,-0.80366158523938,-0.663584040902933,-0.00220949043044503
"CB","Denzel Ward",2560916,24.0206455700087,14.5925873554369,9.42805821457179,0.290728161125978,8.84607514356798,0.357447742085006,0.926050824242585,1.19258213369235,4.65945878719525,3.51233539507589,-2.08619048327809,-1.4425480307455,-0.643642452532585,1.80624980502502,-0.248091106903463,-1.14994507946984,-0.256465661365282,-1.01158864321526,-0.937991262476758,-0.288358534872501
"CB","Stephon Gilmore",2533062,23.9395398366364,7.59635046470697,16.3431893719294,1.28270610592058,2.63005143457665,2.02574960948871,0.334841064246095,4.88434663536099,0.887969932598315,7.95412384605128,-1.25791588051738,0.35304055773257,-1.61095643824995,2.23882856060421,0.0216616035241748,-3.57997892591624,0.541393569702806,-0.263349013977644,-0.210014615494411,-0.00645705896027463
"CB","Steven Nelson",2552265,21.7338641554811,1.44187499958017,20.2919891559009,1.16906920812201,-1.06246144620487,-0.490464598307459,-2.15040873930603,3.51535203232296,9.43648849459037,0.231370861112791,-7.11097288607266,-1.82589861241816,-5.2850742736545,2.89016310203335,-0.736776306248777,-3.08305913044973,-1.01806798353305,-3.75264651354298,-0.0710543226363362,-1.33953173169514
"ILB","Darron Lee",2555322,19.4224753260255,15.0964854827687,4.3259898432569,3.91675319126539,4.10572028530119,2.71048441249792,1.06593361923434,-0.285012687460039,-0.973135990470241,0.53590966364511,-0.149947144176335,-0.23370343820585,0.0837562940295145,-0.239990676422429,0.159140368127833,0.285012687460039,0.334432815328763,0.356972842025357,-0.727276621662446,-0.318238559033452
"SS","Damontae Kazee",2558184,19.2843884834569,20.6906146202599,-1.40622613680304,0.916110825314008,1.855821389897,0.127237750181573,-1.1511817318323,-0.0414505216768521,-0.368711241739423,0.200166481426434,-0.622444751050587,-0.267358185969514,-0.355086565081074,0.0243169181482494,0.054161959342076,0.0414505216768521,-0.283211089204733,-0.392380578980211,-0.0383090561068566,-0.0284734259259645
"S","Minkah Fitzpatrick",2560725,17.9907287109073,5.1228398905547,12.8678888203526,2.71300593148501,1.38945534078399,0.613926766325788,-2.66635122227031,3.75354540555268,8.9355143231829,3.68909067936493,-3.00463522258547,0.793049541418481,-3.79768476400395,0.823787657483434,-0.420644785168424,-1.46118425923609,1.50529396121134,-1.56850699231246,-0.291599634624438,-1.59178116993884
"CB","Jalen Ramsey",2555280,16.8014033970564,9.34372664564029,7.45767675141612,-1.55428476909194,6.93022162992221,2.31758313689419,-1.70784929079523,0.525587106771339,9.79378032222776,-1.66642560119391,-7.86909684867581,-0.26036314263948,-7.60873370603633,-0.935732500946448,-0.0880229939509451,-2.16789486981423,0.27742797078245,-5.12604232667411,-0.449768119470984,0.620935991398457
"SS","Reshad Jones",496739,16.7533277703513,12.1295154544967,4.62381231585461,1.82729326696343,1.20017162373419,1.36030627955948,-2.97900636336157,0.239471876969186,5.54618323173495,0.537395982977766,-0.434169324691767,0.187671095608607,-0.621840420300375,-0.0693104473035386,0.621859020128587,-0.239471876969186,0.174442430110798,-0.192749843018328,-0.608630354630778,-0.120308253009322
"CB","Ronald Darby",2552689,15.985051687936,7.54019840774395,8.44485328019206,-0.925146669558056,4.51243145132838,-0.464993709155138,-8.17348208166847,0.35221625554152,15.1823036173883,0.934710767395379,-6.09795192281054,-1.21046577514713,-4.88748614766341,0.0420730672497946,-0.605190334282704,-1.88255325938228,-0.498286871906731,-2.5184419941259,-0.106988568957696,-0.528563961405021
"CB","Kenny Moore II",2558976,15.796062728011,18.7020786004625,-2.90601587245147,2.87231125708749,7.6144254942822,2.17207466050767,-8.99830565268668,3.3779009800243,-0.316759485292953,3.67470718523096,-1.96661210201159,0.656939813661827,-2.62355191567341,-1.28962526987312,0.116752757419407,-0.388836965517395,0.716909112018548,-0.346052124836815,-0.176722055776128,-0.599037555446086
"CB","Holton Hill",2560741,15.4030724547748,1.28387840397406,14.1191940508008,0.899621144566565,-0.271141325159104,1.26935809323247,-0.0799347316008404,0.973120294513372,10.2735877661311,1.07175575602301,-1.74929021725055,-0.30164063109578,-1.44764958615477,0.374549232004823,-0.0847705443588372,-0.973120294513372,-0.281845804856851,-1.20084366320647,0.0649757181199083,0.351765139560249
"CB","Xavien Howard",2555539,14.7173192888201,9.82486500724683,4.89245428157324,-7.27351489044402,13.3253256793969,-1.2651767024285,-10.4383704233761,-5.5431010124237,22.5576776369319,-4.10285880686488,-2.21176655881367,0.727657952883472,-2.93942451169714,0.218879144306427,0.20208699249679,-1.52832688552353,0.622888020326732,-1.07567069515777,-0.0973170599400501,-0.554306075322268
